threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w12_14_c2018,never_only,full,any_abandon,hh_year,.0494665583536453,.029743686,.098702624,2612,1306,131,.1236600306278714,75,9,1231,122
completed_t,w12_14_c2018,never_only,full,any_rentin,hh_provyear,.0577121808016658,.10513829,.58400404,2606,1303,131,.1385264773599386,79,9,1224,122
completed_t,w12_14_c2018,never_only,full,any_rentin,hh_year,.054314552825352,.084058873,.51932192,2606,1303,131,.1385264773599386,79,9,1224,122
completed_t,w12_14_c2018,never_only,full,asinh_abandon,hh_provyear,-.0066186536035255,.066322058,.92066032,2610,1305,131,.1978134625995168,75,9,1230,122
completed_t,w12_14_c2018,never_only,full,asinh_abandon,hh_year,-.0079644762046259,.0484014,.86955333,2610,1305,131,.1978134625995168,75,9,1230,122
completed_t,w12_14_c2018,never_only,full,asinh_land_total,hh_provyear,.0196576908855943,.2143075,.92705649,2486,1243,131,2.002087058563127,74,9,1169,122
completed_t,w12_14_c2018,never_only,full,asinh_land_total,hh_year,-.0327601663522546,.2032028,.87217116,2486,1243,131,2.002087058563127,74,9,1169,122
completed_t,w12_14_c2018,never_only,full,asinh_rentin,hh_provyear,.1973824684505018,.16327129,.2288865,2606,1303,131,.2707504817403233,79,9,1224,122
completed_t,w12_14_c2018,never_only,full,asinh_rentin,hh_year,.1864598865126423,.14403324,.19776624,2606,1303,131,.2707504817403233,79,9,1224,122
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_abandon,hh_provyear,-.0717208456467379,.10767076,.50674653,1812,906,110,.151766004415011,112,14,794,96
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_abandon,hh_year,-.042900873824232,.05385467,.42738131,1816,908,112,.1519823788546255,113,15,795,97
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,hh_provyear,-.0585126751933829,.058459375,.31908628,1808,904,110,.1344026548672566,111,14,793,96
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,hh_year,-.0597562072688006,.043419633,.17151481,1812,906,112,.1352097130242826,112,15,794,97
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_abandon,hh_provyear,.007119251357347,.12491296,.95465457,1802,901,110,.2200501344733964,112,14,789,96
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_abandon,hh_year,.0074174564343375,.053940464,.89087528,1806,903,112,.2212229043584487,113,15,790,97
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_land_total,hh_provyear,-.2236455927899173,.51207042,.66314274,1676,838,112,2.096966121592546,104,15,734,97
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_land_total,hh_year,-.3939733284728419,.40475008,.33244634,1680,840,114,2.098792777222052,105,16,735,98
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,-.0694279915698293,.098605186,.48287153,1802,901,110,.2668481494900786,111,14,790,96
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_year,-.1052857039285206,.082114726,.20245157,1806,903,112,.2708716287736817,112,15,791,97
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_abandon,hh_provyear,-.071720845646738,.10776909,.50720096,1712,856,105,.1477803738317757,112,14,744,91
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_abandon,hh_year,-.0413137732375115,.054035764,.44623023,1716,858,107,.148018648018648,113,15,745,92
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,hh_provyear,-.058512675193383,.05851208,.31962666,1710,855,105,.1333333333333333,111,14,744,91
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,hh_year,-.0540388302972181,.04364828,.21843196,1714,857,107,.1341890315052509,112,15,745,92
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_abandon,hh_provyear,.0071192513573469,.12502804,.95470124,1702,851,105,.2227850399786788,112,14,739,91
