subset,k,farm_income_any_rentin_b,farm_income_any_rentin_se,farm_income_any_rentin_p,farm_income_any_rentin_first_stage_f,farm_income_any_rentin_partial_r2,farm_income_any_rentin_overid_p,farm_income_any_rentin_N,farm_income_any_rentin_clusters,farm_income_asinh_rentin_b,farm_income_asinh_rentin_se,farm_income_asinh_rentin_p,farm_income_asinh_rentin_first_stage_f,farm_income_asinh_rentin_partial_r2,farm_income_asinh_rentin_overid_p,farm_income_asinh_rentin_N,farm_income_asinh_rentin_clusters,baseline_bundle_any_rentin_b,baseline_bundle_any_rentin_se,baseline_bundle_any_rentin_p,baseline_bundle_any_rentin_first_stage_f,baseline_bundle_any_rentin_partial_r2,baseline_bundle_any_rentin_overid_p,baseline_bundle_any_rentin_N,baseline_bundle_any_rentin_clusters,baseline_bundle_asinh_rentin_b,baseline_bundle_asinh_rentin_se,baseline_bundle_asinh_rentin_p,baseline_bundle_asinh_rentin_first_stage_f,baseline_bundle_asinh_rentin_partial_r2,baseline_bundle_asinh_rentin_overid_p,baseline_bundle_asinh_rentin_N,baseline_bundle_asinh_rentin_clusters,Fmin,pmax_farm,pmax_base,overid_min,score
net+dist+costwork+burden4,4,0.18309118203091682,0.10189420490681293,0.07235541552412594,21.516118556286756,0.44858181140277675,0.3071868730025047,2772,130,0.4203238995657293,0.21880565176618444,0.05473272011445318,21.516474165037266,0.44856068695063,0.09512700570502264,2766,130,0.16942507501132284,0.10749429118149159,0.11499563677979174,23.817777802303226,0.4357213332705214,0.4947613895961541,2532,128,0.38713790249248614,0.21008998032142046,0.0653692807907913,23.81796627769245,0.43570944339464335,0.3024062011833688,2526,128,21.516118556286756,0.07235541552412594,0.11499563677979174,0.09512700570502264,8
geo+workload+costwork+burden4,4,0.18309118203092897,0.1018942049068143,0.07235541552411062,21.51611855628215,0.4485818114027763,0.3071868730025047,2772,130,0.42032389956573457,0.21880565176618666,0.054732720114452516,21.516474165022203,0.4485606869506298,0.09512700570499666,2766,130,0.16942507501132484,0.10749429118149294,0.11499563677979197,23.8177778022623,0.4357213332705214,0.4947613895961541,2532,128,0.3871379024924983,0.210089980321426,0.06536928079078996,23.817966277663118,0.4357094433946431,0.3024062011834383,2526,128,21.51611855628215,0.07235541552411062,0.11499563677979197,0.09512700570499666,8
raw+dist+workload+burden4,4,0.18309118203091815,0.10189420490681289,0.07235541552412372,21.51611855627766,0.44858181140277675,0.3071868730025047,2772,130,0.4203238995657371,0.21880565176618702,0.054732720114451405,21.51647416500333,0.4485606869506301,0.09512700570503507,2766,130,0.1694250750113229,0.10749429118149081,0.11499563677978886,23.817777802230808,0.43572133327052176,0.4947613895961541,2532,128,0.3871379024924857,0.21008998032142026,0.0653692807907913,23.817966277695973,0.43570944339464335,0.3024062011833688,2526,128,21.51611855627766,0.07235541552412372,0.11499563677978886,0.09512700570503507,8
net+raw+dist+workload,4,0.18309118203091934,0.10189420490681218,0.07235541552411973,21.516118556275913,0.44858181140277675,0.3071868730025047,2772,130,0.42032389956572125,0.21880565176618302,0.05473272011445607,21.516474165016486,0.44856068695062956,0.09512700570502264,2766,130,0.16942507501131582,0.10749429118148932,0.11499563677979907,23.817777802271923,0.4357213332705212,0.4947613895961541,2532,128,0.38713790249248414,0.21008998032141873,0.06536928079079041,23.81796627772234,0.4357094433946429,0.3024062011833688,2526,128,21.516118556275913,0.07235541552411973,0.11499563677979907,0.09512700570502264,8
geo+dist+workload+burden4,4,0.18309118203092423,0.10189420490681372,0.0723554155241164,21.516118556274762,0.4485818114027761,0.30718687300254377,2772,130,0.4203238995657271,0.2188056517661837,0.054732720114453626,21.516474165034253,0.4485606869506297,0.09512700570499666,2766,130,0.16942507501132426,0.10749429118149173,0.11499563677978908,23.81777780231812,0.4357213332705213,0.4947613895961541,2532,128,0.38713790249248725,0.2100899803214207,0.06536928079079085,23.81796627768739,0.435709443394643,0.3024062011833688,2526,128,21.516118556274762,0.0723554155241164,0.11499563677978908,0.09512700570499666,8
geo+raw+costwork+burden4,4,0.18309118203092353,0.10189420490681404,0.07235541552411862,21.51611855627374,0.44858181140277653,0.3071868730025047,2772,130,0.42032389956572624,0.21880565176618452,0.05473272011445496,21.516474164959163,0.4485606869506298,0.09512700570503507,2766,130,0.1694250750113228,0.10749429118149174,0.11499563677979219,23.817777802320393,0.43572133327052154,0.4947613895961541,2532,128,0.3871379024924869,0.2100899803214216,0.06536928079079218,23.81796627767949,0.43570944339464335,0.3024062011833688,2526,128,21.51611855627374,0.07235541552411862,0.11499563677979219,0.09512700570503507,8
net+raw+workload+burden4,4,0.1830911820309127,0.10189420490681354,0.07235541552413394,21.516118556273113,0.4485818114027763,0.3071868730025047,2772,130,0.4203238995657306,0.21880565176618585,0.05473272011445385,21.516474164952456,0.44856068695063,0.09512700570499666,2766,130,0.16942507501132514,0.10749429118149094,0.11499563677978464,23.817777802241835,0.43572133327052165,0.4947613895961541,2532,128,0.38713790249248486,0.2100899803214206,0.06536928079079218,23.81796627774338,0.43570944339464335,0.3024062011834383,2526,128,21.516118556273113,0.07235541552413394,0.11499563677978464,0.09512700570499666,8
geo+net+dist+costwork,4,0.18309118203092944,0.10189420490681489,0.07235541552411151,21.51611855627075,0.44858181140277675,0.30718687300262115,2772,130,0.42032389956577476,0.21880565176620043,0.05473272011444452,21.5164741653144,0.44856068695063045,0.09512700570502264,2766,130,0.169425075011321,0.10749429118148839,0.11499563677978486,23.817777802468605,0.4357213332705221,0.4947613895961541,2532,128,0.3871379024924536,0.21008998032141138,0.06536928079080218,23.817966277486523,0.43570944339464424,0.3024062011834383,2526,128,21.51611855627075,0.07235541552411151,0.11499563677978486,0.09512700570502264,8
geo+dist+costwork+burden4,4,0.18309118203092456,0.10189420490681421,0.07235541552411728,21.516118556268907,0.4485818114027761,0.3071868730025047,2772,130,0.4203238995657229,0.2188056517661834,0.054732720114455624,21.516474165031184,0.4485606869506298,0.09512700570502264,2766,130,0.1694250750113236,0.10749429118149205,0.11499563677979152,23.817777802301748,0.4357213332705212,0.4947613895961541,2532,128,0.3871379024924906,0.21008998032142231,0.06536928079079041,23.817966277696826,0.4357094433946429,0.3024062011833688,2526,128,21.516118556268907,0.07235541552411728,0.11499563677979152,0.09512700570502264,8
net+raw+dist+burden4,4,0.18309118203093191,0.10189420490681339,0.07235541552410352,21.516118556263642,0.4485818114027763,0.3071868730023889,2772,130,0.4203238995657148,0.21880565176618105,0.05473272011445762,21.51647416501295,0.4485606869506297,0.09512700570503507,2766,130,0.16942507501131437,0.10749429118149048,0.11499563677980595,23.81777780235113,0.4357213332705211,0.4947613895962588,2532,128,0.3871379024924897,0.21008998032141968,0.06536928079078774,23.817966277760682,0.4357094433946431,0.3024062011834383,2526,128,21.516118556263642,0.07235541552410352,0.11499563677980595,0.09512700570503507,8
