bundle,outcome,stress,N,clusters,n_exog,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
geo_plus_rawsurvey,any_rentin,geo_dev_main_plus_labor_cost,2532.0,128.0,18.0,2.0,0.266108558385938,0.1336391772094064,0.0464537820682258,9.97572016188324,0.2754955031896688,0.0544981797853824,0.6810348909930309,0.7458476944566339
geo_plus_rawsurvey,asinh_rentin,geo_dev_main_plus_labor_cost,2526.0,128.0,18.0,2.0,0.4846950046114481,0.2435568107174232,0.0465832691703629,9.969163446106023,0.2755910326351782,0.1037458556659103,0.719451040034765,0.6499481865017107
geo_plus_rawsurvey,any_rentin,geo_dev_main_plus_rent,2532.0,128.0,17.0,2.0,0.1307316240025914,0.1225467213212456,0.2860666488196777,10.09577134066581,0.2747786936023288,0.0782120447500378,0.2188226286011231,0.2159362097945689
geo_plus_rawsurvey,asinh_rentin,geo_dev_main_plus_rent,2526.0,128.0,17.0,2.0,0.3814007107313768,0.2581195966714114,0.1395115596540996,10.098321983877726,0.2749408732506559,0.109736363965244,0.3013628420730939,0.2063968273594201
geo_plus_rawsurvey,any_rentin,lower_order_Z,2532.0,128.0,12.0,2.0,0.1833287786900701,0.1263334027460722,0.1467379611402988,9.1702478882508,0.2690894138543698,0.0839700516153701,0.3749626323690771,0.3641891765838487
geo_plus_rawsurvey,asinh_rentin,lower_order_Z,2526.0,128.0,12.0,2.0,0.2925079240959389,0.2098748949615909,0.1634006118446014,9.168565777392264,0.2690222631093467,0.3456161935950236,0.539872172979284,0.4385510229353125
survey_net_distance,any_rentin,baseline,2532.0,128.0,10.0,1.0,0.3029972679359083,0.1516912309751467,0.0457751627748956,9.112809149665242,0.2533535516972617,0.0080004111626022,,
survey_net_distance,asinh_rentin,baseline,2526.0,128.0,10.0,1.0,0.6076967016926259,0.2560454514191956,0.0176254580994372,9.11379719811837,0.2533791749710891,0.001060552935795,,
survey_net_distance,any_rentin,channel_gov_mobility_main,2532.0,128.0,13.0,1.0,0.3063188739541316,0.1542654270431127,0.0470709552971291,9.35701017526587,0.2591261637211565,0.0097514880592835,,
survey_net_distance,asinh_rentin,channel_gov_mobility_main,2526.0,128.0,13.0,1.0,0.629064009268294,0.272865777921862,0.0211443363580126,9.35887957468838,0.2591703375203932,0.0015047520702158,,
