source,scope,anchor,outcome,design,fe,high_treated_support,N,clusters,mean_y,kept_regs,D_b,D_se,D_p,PM_b,PM_se,PM_p,DM_b,DM_se,DM_p,D_plus_DM_b,D_plus_DM_se,D_plus_DM_p
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_raw,heterogeneous_D_DM,stackyear,4,388,133,25.90865725047081,"PM,D,DM",21.15984281579004,14.366213972743882,0.1407808882009254,0.6971707726557081,6.155144173271299,0.9098193868065552,11.532059813811816,40.605082271682825,0.7764062955679913,32.691902629601856,37.940768144001694,0.38887666925005715
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_raw,heterogeneous_D_DM,provyear,4,370,128,25.90865725047081,"PM,D,DM",10.881981545881215,8.07214718317206,0.17762941148403255,-3.0961383554044515,7.424650058252138,0.6766725676160802,7.7628050220711415,44.40744072837221,0.8612299867086136,18.64478656795236,45.027784953245224,0.6788207014979846
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_miss0,overall_D,stackyear,4,516,190,23.963333754740834,D,17.92769890761384,12.165326750379107,0.1405699804983947,,,,,,,,,
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_miss0,overall_D,provyear,4,510,188,23.963333754740834,D,-3.470873786407765,8.879165622952337,0.6958704925944419,,,,,,,,,
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_miss0,heterogeneous_D_DM,stackyear,4,418,142,24.83302707581227,"PM,D,DM",21.44579480295613,14.340894285918349,0.13480241488524144,0.8464371270935604,5.778218130652433,0.8835365025651827,11.308524004518343,40.525364691018595,0.7802079499157191,32.754318807474476,37.85989200785856,0.386958881765361
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_miss0,heterogeneous_D_DM,provyear,4,402,139,24.83302707581227,"PM,D,DM",9.23168027305555,8.002347020206944,0.248655343984573,-3.4264726582304856,6.851551973663711,0.6170034826923279,8.09313932489717,44.29235454129695,0.855017008212714,17.324819597952718,44.917536989945454,0.6997167920078708
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_any,overall_D,stackyear,4,468,173,0.5573333333333333,D,0.13423012438101944,0.14230064458040614,0.3455349275081888,,,,,,,,,
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_any,overall_D,provyear,4,456,170,0.5573333333333333,D,-0.19345057610673133,0.29841916768015403,0.5168225075726689,,,,,,,,,
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_any,heterogeneous_D_DM,stackyear,4,388,133,0.5630885122410546,"PM,D,DM",0.3296531583004492,0.15757117820099126,0.03643042461359753,0.0421002274953991,0.08311239502070472,0.6124736064003705,-0.530542145141647,0.277096388430871,0.055537363595913984,-0.20088898684119777,0.23256857729387115,0.387706627686227
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_any,heterogeneous_D_DM,provyear,4,370,128,0.5630885122410546,"PM,D,DM",0.15925557374194055,0.16627925973792088,0.338183945511362,-0.011788302513236294,0.08781063054830417,0.8932073625344201,-0.46043391970898573,0.3157447437336784,0.14477239075647286,-0.3011783459670452,0.3527356332367915,0.39319592141073745
