scope,anchor,design,a3_group,orientation,outcome,outcome_label,family,fe,term,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,top farm-orientation group DID,0.15321608503198947,1.5951208014051625,0.9234785057441565,1220,83,6.419803738093013,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,any_rentin,Any rented-in land,rent-in,stackyear,bottom group DID,0.03305536881552542,0.06558577153227177,0.6142598773488537,658,44,0.14109848484848486,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,any_rentin,Any rented-in land,rent-in,stackyear,top farmdep-minus-bottom differential,0.1301012577170106,0.10705980886698395,0.22428206335247347,658,44,0.14109848484848486,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,any_rentin,Any rented-in land,rent-in,stackyear,top farmdep group DID,0.16315662653253601,0.06624448507128719,0.01378004535283525,658,44,0.14109848484848486,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,any_rentin,Any rented-in land,rent-in,provyear,bottom group DID,,,,656,44,0.14109848484848486,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,any_rentin,Any rented-in land,rent-in,provyear,top farmdep-minus-bottom differential,,,,656,44,0.14109848484848486,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,any_rentin,Any rented-in land,rent-in,provyear,top farmdep group DID,,,,656,44,0.14109848484848486,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,stackyear,bottom group DID,0.050917194446258175,0.07667908249069444,0.5066712497508009,656,44,0.27206945070382943,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,stackyear,top farmdep-minus-bottom differential,0.3253113906886681,0.1806839569820541,0.07179051968639215,656,44,0.27206945070382943,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,stackyear,top farmdep group DID,0.3762285851349263,0.1501546234865174,0.012224115354860482,656,44,0.27206945070382943,ok
adjacent,completed_t,high insecurity: top-vs-bottom farmdep,high insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,provyear,bottom group DID,,,,654,44,0.27206945070382943,ok
